91206;EBICS_KEYMGMT_KEYLENGTH_ERROR_ENCRYPTION;When processing an HIA request, the order data contains an encryption key of inadmissible length.
91207;EBICS_KEYMGMT_NO_X509_SUPPORT;A public key of type X509 is sent to the bank but the bank supports only public key value type.
91208;EBICS_X509_CERTIFICATE_EXPIRED;The certificate is not valid because it has expired.
91209;EBICS_X509_CERTIFICATE_NOT_VALID_YET;The certificate is not valid because it is not yet in effect.
91210;EBICS_X509_WRONG_KEY_USAGE;When verifying the certificate key usage, the bank detects that the certificate is not issued for current use.
91211;EBICS_X509_WRONG_ALGORITHM;When verifying the certificate algorithm, the bank detects that the certificate is not issued for current use.
91212;EBICS_X509_INVALID_THUMBPRINT;The thumb print does not correspond to the certificate.
91213;EBICS_X509_CTL_INVALID;When verifying the certificate, the bank detects that the certificate trust list (CTL) is not valid.
91214;EBICS_X509_UNKNOWN_CERTIFICATE_AUTHORITY;The chain cannot be verified because of an unknown certificate authority (CA).
91215;EBICS_X509_INVALID_POLICY;The certificate has invalid policy when determining certificate verification.
91216;EBICS_X509_INVALID_BASIC_CONSTRAINTS;The basic constraints are not valid when determining certificate verification.
91217;EBICS_ONLY_X509_SUPPORT;The bank supports evaluation of X.509 data only.
91218;EBICS_KEYMGMT_DUPLICATE_KEY;The key sent for authentication or encryption is the same as the signature key.
91301;EBICS_SIGNATURE_VERIFICATION_FAILED;Verification of the electronic signature has failed.
91302;EBICS_ACCOUNT_AUTHORISATION_FAILED;Preliminary verification of the account authorization has failed.
91303;EBICS_AMOUNT_CHECK_FAILED;Preliminary verification of the account amount limit has failed.
91304;EBICS_SIGNER_UNKNOWN;The signatory of the order is not a valid subscriber.
91305;EBICS_INVALID_SIGNER_STATE;The state of the signatory is not admissible.
91306;EBICS_DUPLICATE_SIGNATURE;The signatory has already signed the order.
